,price,sqft_living,sqft_lot,yr_built,bedrooms,bathrooms,floors,renovated_2000,waterfront,has_basement,view_EXCELLENT,view_FAIR,view_GOOD,view_NONE,grade_11 Excellent,grade_12 Luxury,grade_13 Mansion,grade_3 Poor,grade_4 Low,grade_5 Fair,grade_6 Low Average,grade_7 Average,grade_8 Good,grade_9 Better,condition_Fair,condition_Good,condition_Poor,condition_Very Good
0,221900.0,-1.1251116330800779,-0.3881360137422913,-0.5376282552983181,-0.2793678197273204,-1.7264109946842445,-0.960731539334015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,538000.0,0.7100039950572011,-0.11301535970252208,-0.6745476054512323,-0.2793678197273204,0.339783005424763,1.006704077363308,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,180000.0,-2.1315110296095856,0.24461185036724428,-1.2941788634725107,-1.7136281571476792,-1.7264109946842445,-0.960731539334015,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,604000.0,0.07119232748668564,-0.5235869574812327,-0.19655175346749,0.738256084409971,1.072776992024748,-0.960731539334015,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
4,510000.0,-0.292229338885242,0.00833479061314179,0.5477467677882245,-0.2793678197273204,0.03967999197024403,-0.960731539334015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,1230000.0,2.469202093984772,2.817698998185799,1.0171127334377066,0.738256084409971,2.105873992079252,-0.960731539334015,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,257500.0,-0.24361783926022137,-0.1797165195965347,0.8163592812404239,-0.2793678197273204,0.339783005424763,1.006704077363308,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,229500.0,-0.15591541004059353,-0.07866145816045234,-0.3668724808677673,-0.2793678197273204,-1.7264109946842445,-0.960731539334015,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
9,323000.0,-0.01454709229019261,-0.22263146205752027,1.0838968042697268,-0.2793678197273204,0.6082342987016658,1.006704077363308,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10,662500.0,1.4782305027921232,0.22176921223521273,-0.19655175346749,-0.2793678197273204,0.6082342987016658,-0.960731539334015,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
